Information,email_summary
"Ciao Maurizio,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your ""Offers"" section in   and should clear as soon as all notifications that are tagged as ""New"" have been opened once. Unfortunately, the notification alert on the   app icon not disappearing even though all new offers in   have already been opened seems to be a bug on very few devices at the moment. I can assure you that our developers are already aware of the problem and try to solve it as soon as possible. 

Alternatively, you can also disable the notification badge completely in your general system settings under ""Notifications"" -> "" "" -> ""Badge App Icon"". 

In the meantime, we sincerely apologize for the inconvenience this causes and hope that you can use   in its full functionality again soon. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.

Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your   section in   and should clear as soon as all notifications that are tagged as   have been opened once. Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue! I can assure you that our developers are already aware of the problem and try to solve it as soon as possible."
"Ciao Maurizio,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your ""Offers"" section in   and should clear as soon as all notifications that are tagged as ""New"" have been opened once. Unfortunately, the notification alert on the   app icon not disappearing even though all new offers in   have already been opened seems to be a bug on very few devices at the moment. I can assure you that our developers are already aware of the problem and try to solve it as soon as possible. 

Alternatively, you can also disable the notification badge completely in your general system settings under ""Notifications"" -> "" "" -> ""Badge App Icon"". 

In the meantime, we sincerely apologize for the inconvenience this causes and hope that you can use   in its full functionality again soon. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.

Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your   section in   and should clear as soon as all notifications that are tagged as   have been opened once. Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue! I can assure you that our developers are already aware of the problem and try to solve it as soon as possible."
"こんにちは、 のユーザー様。

この問題についてご連絡いただきありがとうございます。 申し訳ありませんが私は日本語語が話せませんので、英語で書かせて頂くことをご容赦ください:

Thank you for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm afraid, the feature to retrieve your current points balance via   is currently only available for selected cards and regions. We are constantly trying to add more regions and card providers to this feature and hope that we can offer this service also for the region Japan in the future. In the meantime, we sincerely apologize for the inconvenience this causes. 

その他にもご質問や改善の提案、一般的なご意見などございましたら、お気軽にお問い合わせください。

敬具、


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for contacting us regarding this issue. I'm constantly trying to add your current points balance via is currently only available for selected cards and regions. Sorry, I can not speak Japanese, so please forgive me for writing in English:

Thank you for reaching out and taking the time to send us feedback!"
"こんにちは、 のユーザー様。

この問題についてご連絡いただきありがとうございます。 申し訳ありませんが私は日本語語が話せませんので、英語で書かせて頂くことをご容赦ください:

Thank you for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm afraid, the feature to retrieve your current points balance via   is currently only available for selected cards and regions. We are constantly trying to add more regions and card providers to this feature and hope that we can offer this service also for the region Japan in the future. In the meantime, we sincerely apologize for the inconvenience this causes. 

その他にもご質問や改善の提案、一般的なご意見などございましたら、お気軽にお問い合わせください。

敬具、


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for contacting us regarding this issue. I'm constantly trying to add your current points balance via is currently only available for selected cards and regions. Sorry, I can not speak Japanese, so please forgive me for writing in English:

Thank you for reaching out and taking the time to send us feedback!"
"Hi Stephane,

Thank you for keeping me updated on this issue. I'm happy to hear that the issue got resolved after all and you can now use   in its full functionality again. 
Also many thanks for your suggestions. For cards that are mainly using (for example) QR codes, the scanning example will also adapt to this format.
We hope to improve this feature for all cards in the future. 

In case you experience any further problems with your   app, please don't hesitate to contact me again.

Best regards,


Solveig Miriam Brandt
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","I'm happy to hear that the issue got resolved after all and you can now use   in its full functionality again. Also many thanks for your suggestions. In case you experience any further problems with your   app, please don't hesitate to contact me again."
"Hi Nick,

Thank you so much for reaching out and taking the time to contact us about this issue!

I checked our servers and I'm happy to tell you that I was able to find a   Backup account created via the ""Email"" login option and connected to your mail address nickvanbaelen@gmail.com. It was last updated in December 2017 and currently contains 20 cards. It is indeed very unusual that   would not restore your backup if your log into your   Backup email account now. 

Unfortunately, it is very hard for us to detect the source of your problem without further information. Therefore, I would kindly ask you to tell me which device and operating system you are using our   app on. It would also be helpful to know which version of the   app you are currently running. To check your version, please go to your   settings and click on ""About"" (Android) or scroll to the end of the settings page (iOS). 

Moreover, would it be possible to send me a screenshot of your   Backup screen after you tried to log into your account?

Many thanks and best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","It is indeed very unusual that   would not restore your backup if your log into your   Backup email account now. I checked our servers and I'm happy to tell you that I was able to find a   Backup account created via the   login option and connected to your mail address nickvanbaelen@gmail.com. Moreover, would it be possible to send me a screenshot of your   Backup screen after you tried to log into your account?"
"Hi Nick,

Thank you for keeping me updated on this issue. I'm happy to hear that the issue got resolved after all by installing our latest app version and you can now use   in its full functionality again. 

In case you experience any further problems with your   app, please don't hesitate to contact me again.

Best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for keeping me updated on this issue. In case you experience any further problems with your   app, please don't hesitate to contact me again."
"Ciao Andrea,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Unfortunately, there is currently no new Penny offer available in  . However, we will try to bring it back as soon as possible. In the meantime, we sincerely apologize for the inconvenience. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.

Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","However, we will try to bring it back as soon as possible. Unfortunately, there is currently no new Penny offer available in. Thank you very much for taking the time to contact us."
"Hi Andrea,

I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . Unfortunately, we cannot simply take the Penny flyer from Google but rather have to wait until Penny provides us with their latest catalogue. We sincerely apologize for the inconvenience this may cause. 

I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Cordiali saluti, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again."
"Hi Andrea,

I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . Unfortunately, we cannot simply take the Penny flyer from Google but rather have to wait until Penny provides us with their latest catalogue. We sincerely apologize for the inconvenience this may cause. 

I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Cordiali saluti, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again."
"Bonjour Clarisse,

Merci pour votre message et feedback! Nous sommes très heureux d’entendre que   vous plaît. Nous travaillons de jour en jour pour améliorer et développer notre application pour nos utilisateurs afin d’ultimement rendre le portefeuille physique obsolète.

N’hésitez pas à partager l’application avec vos amis!

Merci encore et une bonne fin de journée.


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim",Thank you again and a good end of the day. We are working from day to day to improve and develop our application for our users in order to ultimately make the physical portfolio obsolete. Feel free to share the app with your friends!
"Hi   user,

Thank you so much for reaching out and taking the time to contact us about this issue!

Unfortunately, it is currently not possible to manually change the order of your cards in  . They will automatically get sorted alphabetically. However, you could us one of our integrated sorting tools. 

For   on Android devices, you can decide whether you prefer having your cards sorted alphabetically, by frequency of use or by last used. You can change this setting in your   settings under ""More"" -> ""Sort card list by"".

For   on iOS devices we offer our so-called ""Most Relevant"" section which will be displayed on top of your card list. They are normally either those four cards that you most frequently use/open (then you'll see a star in the card) or those cards with shops that are close by (then you'll see a location triangle in the card). I'm afraid, you cannot manually edit the ""Most Relevant"" cards. However, if you want a card to be in the ""Most Relevant"" section, you can simply open it several times in   and restart the app afterwards. 

We are working on further improving these features though, since we know a lot of users would appreciate being able to arrange their cards in   as they see fit. In the meantime, we sincerely apologize for the inconvenience this causes. 

I hope this information is helpful to you. If you have any further questions, suggestions or general feedback, please don't hesitate to contact me again.

Best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you so much for reaching out and taking the time to contact us about this issue! However, if you want a card to be in the   section, you can simply open it several times in   and restart the app afterwards. I'm afraid, you cannot manually edit the   cards. I hope this information is helpful to you."
"Hi Avery,

Thank you so much for reaching out and taking the time to contact us about this issue! 

Yes, we can delete your account. Please note that as soon as we delete your account your cards aren't saved anymore and you won't be able to retrieve them in case you reinstall the app or change your phone.

If you still want to delete it, could you please tell me how you logged into the   Backup (via Facebook, Google or mail address)?

Mail address: Please tell us which mail address you used to log in and send your reply from that mail address. 
Google: When you used your Gmail address via Google+, it makes it easier to find your account when we have your Google ID. To find it, please log into your Google account and go to your Google+ profile page. After that, the link in your browser should switch to https://plus.google.com/ followed by a 21 digit number. Please send us this number.
Facebook: If you logged in with Facebook, it makes it easier to find your account when we have your Facebook ID. To find it, please follow the steps below:

1. Please open your Facebook ""Settings"" on your computer by clicking on the little arrow symbol in the top right corner of your Facebook starting page and selecting ""Settings"". 
2. Now, please select ""Apps"" in the left column.
3. Select "" "" and scroll down to ""Get Help from App Developers"". 
4. Your user ID is displayed in the paragraph below.

Many thanks and best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Please note that as soon as we delete your account your cards aren't saved anymore and you won't be able to retrieve them in case you reinstall the app or change your phone. If you still want to delete it, could you please tell me how you logged into the   Backup (via Facebook, Google or mail address)? Please open your Facebook   on your computer by clicking on the little arrow symbol in the top right corner of your Facebook starting page and selecting  . 2. Facebook: If you logged in with Facebook, it makes it easier to find your account when we have your Facebook ID."
"Hi Avery,

Thank you very much for the information!

I noted down imagicloud@gmail.com via email as your login option for the   Backup. We will delete your   Backup account as soon as possible. Please keep in mind that this is a manual effort though and therefore might take a little while. We apologize for the inconvenience. 

Have a nice day, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim",Thank you very much for the information! We will delete your   Backup account as soon as possible. We apologize for the inconvenience.
"Hi Darryll,

Thank you so much for reaching out and taking the time to send us feedback! It is very much appreciated!

We are aware that the current loading times of our app have increased over the course of the latest updates and I can assure you that our developers are already working on improving the speed and overall performance again for future releases. Until then, you could try keeping   opened in the background while shopping as a temporary workaround. This way, the app doesn't have to reload all your information (e.g. card pictures, points balances, etc.) completely each time it is opened and the loading times will be decreased significantly. 

In the meantime, I sincerely apologize for the inconvenience this causes and hope that you can use   in its full capacity again soon.

If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Best regards,


Solveig Miriam Brandt
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","completely each time it is opened and the loading times will be decreased significantly. Until then, you could try keeping   opened in the background while shopping as a temporary workaround. In the meantime, I sincerely apologize for the inconvenience this causes and hope that you can use   in its full capacity again soon."
"Hi Darryll,

Thank you so much for reaching out and taking the time to send us feedback! It is very much appreciated!

We are aware that the current loading times of our app have increased over the course of the latest updates and I can assure you that our developers are already working on improving the speed and overall performance again for future releases. Until then, you could try keeping   opened in the background while shopping as a temporary workaround. This way, the app doesn't have to reload all your information (e.g. card pictures, points balances, etc.) completely each time it is opened and the loading times will be decreased significantly. 

In the meantime, I sincerely apologize for the inconvenience this causes and hope that you can use   in its full capacity again soon.

If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Best regards,


Solveig Miriam Brandt
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","completely each time it is opened and the loading times will be decreased significantly. Until then, you could try keeping   opened in the background while shopping as a temporary workaround. In the meantime, I sincerely apologize for the inconvenience this causes and hope that you can use   in its full capacity again soon."
"Здравствуйте, пользователь  !

Большое спасибо за ваше обращение и за то, что нашли время, чтобы связаться с нами по этому вопросу! К сожалению, я не владею русский, поэтому, надеюсь, вы поймете, если я отвечу на английском:

I'm glad to inform you that this feature is already available in  !
You can add a picture of the front and back side of your loyalty cards by opening a specific card and going to the ""Notes"" section. 
In this section you can upload a picture from your gallery or take one using your phone's camera. Furthermore, you can also add some notes to your cards. 
I hope this information is useful to you. 

Если у вас есть дополнительные вопросы, предложения по улучшению приложения или отзыв об использовании, пожалуйста, свяжитесь со мной снова.

С наилучшими пожеланиями, 


Solveig Miriam Brandt
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Back to top of page for your card. Thank you very much for your message and for taking the time to contact us on this issue! Furthermore, you can also add your notes to your cards."
