,Information,clean_information,signature,email_body,salutation
0,"Ciao Maurizio,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your ""Offers"" section in   and should clear as soon as all notifications that are tagged as ""New"" have been opened once. Unfortunately, the notification alert on the   app icon not disappearing even though all new offers in   have already been opened seems to be a bug on very few devices at the moment. I can assure you that our developers are already aware of the problem and try to solve it as soon as possible. 

Alternatively, you can also disable the notification badge completely in your general system settings under ""Notifications"" -> "" "" -> ""Badge App Icon"". 

In the meantime, we sincerely apologize for the inconvenience this causes and hope that you can use   in its full functionality again soon. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.

Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Ciao Maurizio,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your ""Offers"" section in   and should clear as soon as all notifications that are tagged as ""New"" have been opened once. Unfortunately, the notification alert on the   app icon not disappearing even though all new offers in   have already been opened seems to be a bug on very few devices at the moment. I can assure you that our developers are already aware of the problem and try to solve it as soon as possible. 

Alternatively, you can also disable the notification badge completely in your general system settings under ""Notifications"" -> "" "" -> ""Badge App Icon"". 

In the meantime, we sincerely apologize for the inconvenience this causes and hope that you can use   in its full functionality again soon. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.","Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your   section in   and should clear as soon as all notifications that are tagged as   have been opened once. Unfortunately, the notification alert on the   app icon not disappearing even though all new offers in   have already been opened seems to be a bug on very few devices at the moment. I can assure you that our developers are already aware of the problem and try to solve it as soon as possible. 

Alternatively, you can also disable the notification badge completely in your general system settings under   ->   ->  . 

In the meantime, we sincerely apologize for the inconvenience this causes and hope that you can use   in its full functionality again soon. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.","Ciao Maurizio,"
1,"Ciao Maurizio,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your ""Offers"" section in   and should clear as soon as all notifications that are tagged as ""New"" have been opened once. Unfortunately, the notification alert on the   app icon not disappearing even though all new offers in   have already been opened seems to be a bug on very few devices at the moment. I can assure you that our developers are already aware of the problem and try to solve it as soon as possible. 

Alternatively, you can also disable the notification badge completely in your general system settings under ""Notifications"" -> "" "" -> ""Badge App Icon"". 

In the meantime, we sincerely apologize for the inconvenience this causes and hope that you can use   in its full functionality again soon. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.

Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Ciao Maurizio,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your ""Offers"" section in   and should clear as soon as all notifications that are tagged as ""New"" have been opened once. Unfortunately, the notification alert on the   app icon not disappearing even though all new offers in   have already been opened seems to be a bug on very few devices at the moment. I can assure you that our developers are already aware of the problem and try to solve it as soon as possible. 

Alternatively, you can also disable the notification badge completely in your general system settings under ""Notifications"" -> "" "" -> ""Badge App Icon"". 

In the meantime, we sincerely apologize for the inconvenience this causes and hope that you can use   in its full functionality again soon. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.","Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Usually, the notification alert on the   app icon indicates that there are new flyers or catalogues available in your   section in   and should clear as soon as all notifications that are tagged as   have been opened once. Unfortunately, the notification alert on the   app icon not disappearing even though all new offers in   have already been opened seems to be a bug on very few devices at the moment. I can assure you that our developers are already aware of the problem and try to solve it as soon as possible. 

Alternatively, you can also disable the notification badge completely in your general system settings under   ->   ->  . 

In the meantime, we sincerely apologize for the inconvenience this causes and hope that you can use   in its full functionality again soon. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.","Ciao Maurizio,"
2,"こんにちは、 のユーザー様。

この問題についてご連絡いただきありがとうございます。 申し訳ありませんが私は日本語語が話せませんので、英語で書かせて頂くことをご容赦ください:

Thank you for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm afraid, the feature to retrieve your current points balance via   is currently only available for selected cards and regions. We are constantly trying to add more regions and card providers to this feature and hope that we can offer this service also for the region Japan in the future. In the meantime, we sincerely apologize for the inconvenience this causes. 

その他にもご質問や改善の提案、一般的なご意見などございましたら、お気軽にお問い合わせください。

敬具、


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","こんにちは、 のユーザー様。

この問題についてご連絡いただきありがとうございます。 申し訳ありませんが私は日本語語が話せませんので、英語で書かせて頂くことをご容赦ください:

Thank you for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm afraid, the feature to retrieve your current points balance via   is currently only available for selected cards and regions. We are constantly trying to add more regions and card providers to this feature and hope that we can offer this service also for the region Japan in the future. In the meantime, we sincerely apologize for the inconvenience this causes. 

その他にもご質問や改善の提案、一般的なご意見などございましたら、お気軽にお問い合わせください。

敬具、","Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for contacting us regarding this issue. Sorry, I can not speak Japanese, so please forgive me for writing in English:

Thank you for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm constantly trying to add your current points balance via is currently only available for selected cards and regions. Japan in the future. In the meantime, we sincerely apologize for the inconvenience this causes.

Please feel free to contact us if you have any other questions, suggestions for improvement, or general feedback.

Best regards,",こんにちは、 のユーザー様。
3,"こんにちは、 のユーザー様。

この問題についてご連絡いただきありがとうございます。 申し訳ありませんが私は日本語語が話せませんので、英語で書かせて頂くことをご容赦ください:

Thank you for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm afraid, the feature to retrieve your current points balance via   is currently only available for selected cards and regions. We are constantly trying to add more regions and card providers to this feature and hope that we can offer this service also for the region Japan in the future. In the meantime, we sincerely apologize for the inconvenience this causes. 

その他にもご質問や改善の提案、一般的なご意見などございましたら、お気軽にお問い合わせください。

敬具、


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","こんにちは、 のユーザー様。

この問題についてご連絡いただきありがとうございます。 申し訳ありませんが私は日本語語が話せませんので、英語で書かせて頂くことをご容赦ください:

Thank you for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm afraid, the feature to retrieve your current points balance via   is currently only available for selected cards and regions. We are constantly trying to add more regions and card providers to this feature and hope that we can offer this service also for the region Japan in the future. In the meantime, we sincerely apologize for the inconvenience this causes. 

その他にもご質問や改善の提案、一般的なご意見などございましたら、お気軽にお問い合わせください。

敬具、","Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for contacting us regarding this issue. Sorry, I can not speak Japanese, so please forgive me for writing in English:

Thank you for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm constantly trying to add your current points balance via is currently only available for selected cards and regions. Japan in the future. In the meantime, we sincerely apologize for the inconvenience this causes.

Please feel free to contact us if you have any other questions, suggestions for improvement, or general feedback.

Best regards,",こんにちは、 のユーザー様。
4,"Hi Stephane,

Thank you for keeping me updated on this issue. I'm happy to hear that the issue got resolved after all and you can now use   in its full functionality again. 
Also many thanks for your suggestions. For cards that are mainly using (for example) QR codes, the scanning example will also adapt to this format.
We hope to improve this feature for all cards in the future. 

In case you experience any further problems with your   app, please don't hesitate to contact me again.

Best regards,


Solveig Miriam Brandt
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Hi Stephane,

Thank you for keeping me updated on this issue. I'm happy to hear that the issue got resolved after all and you can now use   in its full functionality again. 
Also many thanks for your suggestions. For cards that are mainly using (for example) QR codes, the scanning example will also adapt to this format.
We hope to improve this feature for all cards in the future. 

In case you experience any further problems with your   app, please don't hesitate to contact me again.","Best regards,


Solveig Miriam Brandt
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for keeping me updated on this issue. I'm happy to hear that the issue got resolved after all and you can now use   in its full functionality again. 
Also many thanks for your suggestions. For cards that are mainly using (for example) QR codes, the scanning example will also adapt to this format.
We hope to improve this feature for all cards in the future. 

In case you experience any further problems with your   app, please don't hesitate to contact me again.","Hi Stephane,"
5,"Hi Nick,

Thank you so much for reaching out and taking the time to contact us about this issue!

I checked our servers and I'm happy to tell you that I was able to find a   Backup account created via the ""Email"" login option and connected to your mail address nickvanbaelen@gmail.com. It was last updated in December 2017 and currently contains 20 cards. It is indeed very unusual that   would not restore your backup if your log into your   Backup email account now. 

Unfortunately, it is very hard for us to detect the source of your problem without further information. Therefore, I would kindly ask you to tell me which device and operating system you are using our   app on. It would also be helpful to know which version of the   app you are currently running. To check your version, please go to your   settings and click on ""About"" (Android) or scroll to the end of the settings page (iOS). 

Moreover, would it be possible to send me a screenshot of your   Backup screen after you tried to log into your account?

Many thanks and best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Hi Nick,

Thank you so much for reaching out and taking the time to contact us about this issue!

I checked our servers and I'm happy to tell you that I was able to find a   Backup account created via the ""Email"" login option and connected to your mail address nickvanbaelen@gmail.com. It was last updated in December 2017 and currently contains 20 cards. It is indeed very unusual that   would not restore your backup if your log into your   Backup email account now. 

Unfortunately, it is very hard for us to detect the source of your problem without further information. Therefore, I would kindly ask you to tell me which device and operating system you are using our   app on. It would also be helpful to know which version of the   app you are currently running. To check your version, please go to your   settings and click on ""About"" (Android) or scroll to the end of the settings page (iOS). 

Moreover, would it be possible to send me a screenshot of your   Backup screen after you tried to log into your account?","Many thanks and best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you so much for reaching out and taking the time to contact us about this issue!

I checked our servers and I'm happy to tell you that I was able to find a   Backup account created via the   login option and connected to your mail address nickvanbaelen@gmail.com. It was last updated in December 2017 and currently contains 20 cards. It is indeed very unusual that   would not restore your backup if your log into your   Backup email account now. 

Unfortunately, it is very hard for us to detect the source of your problem without further information. Therefore, I would kindly ask you to tell me which device and operating system you are using our   app on. It would also be helpful to know which version of the   app you are currently running. To check your version, please go to your   settings and click on   (Android) or scroll to the end of the settings page (iOS). 

Moreover, would it be possible to send me a screenshot of your   Backup screen after you tried to log into your account?","Hi Nick,"
6,"Hi Nick,

Thank you for keeping me updated on this issue. I'm happy to hear that the issue got resolved after all by installing our latest app version and you can now use   in its full functionality again. 

In case you experience any further problems with your   app, please don't hesitate to contact me again.

Best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Hi Nick,

Thank you for keeping me updated on this issue. I'm happy to hear that the issue got resolved after all by installing our latest app version and you can now use   in its full functionality again. 

In case you experience any further problems with your   app, please don't hesitate to contact me again.","Best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for keeping me updated on this issue. I'm happy to hear that the issue got resolved after all by installing our latest app version and you can now use   in its full functionality again. 

In case you experience any further problems with your   app, please don't hesitate to contact me again.","Hi Nick,"
7,"Ciao Andrea,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Unfortunately, there is currently no new Penny offer available in  . However, we will try to bring it back as soon as possible. In the meantime, we sincerely apologize for the inconvenience. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.

Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Ciao Andrea,

Grazie mille per aver trovato il tempo per mettervi in contatto con noi per questo problema! Purtroppo non parlo l'italiano, quindi spero vada bene lo stesso se rispondo in inglese:

Thank you so much for reaching out and taking the time to contact us about this issue!

Unfortunately, there is currently no new Penny offer available in  . However, we will try to bring it back as soon as possible. In the meantime, we sincerely apologize for the inconvenience. 

Se doveste avere ulteriori domande, proposte per miglioramenti o commenti generali, non esitate a contattarmi di nuovo.","Tanti saluti,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you so much for taking the time to contact us for this problem! Unfortunately I don't speak Italian, so I hope it goes well if I answer in English:

This issue! Thank you very much for taking the time to contact us.

Unfortunately, there is currently no new Penny offer available in. However, we will try to bring it back as soon as possible. In the meantime, we sincerely apologize for the inconvenience.

If you have further questions, suggestions for improvements or general comments, do not hesitate to contact me again.","Ciao Andrea,"
8,"Hi Andrea,

I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . Unfortunately, we cannot simply take the Penny flyer from Google but rather have to wait until Penny provides us with their latest catalogue. We sincerely apologize for the inconvenience this may cause. 

I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Cordiali saluti, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Hi Andrea,

I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . Unfortunately, we cannot simply take the Penny flyer from Google but rather have to wait until Penny provides us with their latest catalogue. We sincerely apologize for the inconvenience this may cause. 

I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.","Cordiali saluti, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . Unfortunately, we cannot simply take the Penny flyer from Google but rather have to wait until Penny provides us with their latest catalogue. We sincerely apologize for the inconvenience this may cause. 

I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.","Hi Andrea,"
9,"Hi Andrea,

I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . Unfortunately, we cannot simply take the Penny flyer from Google but rather have to wait until Penny provides us with their latest catalogue. We sincerely apologize for the inconvenience this may cause. 

I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Cordiali saluti, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Hi Andrea,

I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . Unfortunately, we cannot simply take the Penny flyer from Google but rather have to wait until Penny provides us with their latest catalogue. We sincerely apologize for the inconvenience this may cause. 

I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.","Cordiali saluti, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","I'm afraid, not all card providers decide to display their flyers or catalogues regularly in  . Unfortunately, we cannot simply take the Penny flyer from Google but rather have to wait until Penny provides us with their latest catalogue. We sincerely apologize for the inconvenience this may cause. 

I hope this information is helpful to you. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.","Hi Andrea,"
